OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692
?,2642,2642,2642,2642,2642,2642,2642,2642,2642,2642
?,2883,2883,2883,2883,2883,2883,2883,2883,2883,2883
?,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
?,32,32,32,32,32,32,32,32,32,32
?,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535
?,918,918,918,918,918,918,918,918,918,918
?,2079,2079,2079,2079,2079,2079,2079,2079,2079,2079
?,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162
?,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097
?,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698
?,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084
?,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260
?,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699
?,2758,2758,2758,2758,2758,2758,2758,2758,2758,2758
?,990,990,990,990,990,990,990,990,990,990
?,18,18,18,18,18,18,18,18,18,18
?,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699
?,134,134,134,134,134,134,134,134,134,134
?,64,64,64,64,64,64,64,64,64,64
?,108,108,108,108,108,108,108,108,108,108
?,629,629,629,629,629,629,629,629,629,629
?,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534
?,2126,2126,2126,2126,2126,2126,2126,2126,2126,2126
?,2458,2458,2458,2458,2458,2458,2458,2458,2458,2458
?,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
?,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373
?,699,699,699,699,699,699,699,699,699,699
?,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344
?,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762
?,991,991,991,991,991,991,991,991,991,991
?,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277
?,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604
?,790,790,790,790,790,790,790,790,790,790
?,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525
?,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
?,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612
?,212,212,212,212,212,212,212,212,212,212
?,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
?,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758
?,528,528,528,528,528,528,528,528,528,528
?,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607
?,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
?,712,712,712,712,712,712,712,712,712,712
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
?,2119,2119,2119,2119,2119,2119,2119,2119,2119,2119
?,649,649,649,649,649,649,649,649,649,649
?,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
?,947,947,947,947,947,947,947,947,947,947
?,408,408,408,408,408,408,408,408,408,408
?,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909
?,518,518,518,518,518,518,518,518,518,518
?,2066,2066,2066,2066,2066,2066,2066,2066,2066,2066
?,485,485,485,485,485,485,485,485,485,485
?,2587,2587,2587,2587,2587,2587,2587,2587,2587,2587
?,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364
?,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606
?,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570
?,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066
?,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
?,652,652,652,652,652,652,652,652,652,652
?,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
?,835,835,835,835,835,835,835,835,835,835
?,382,382,382,382,382,382,382,382,382,382
?,383,383,383,383,383,383,383,383,383,383
?,106,106,106,106,106,106,106,106,106,106
?,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
?,48,48,48,48,48,48,48,48,48,48
?,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576
?,2431,2431,2431,2431,2431,2431,2431,2431,2431,2431
?,627,627,627,627,627,627,627,627,627,627
?,114,114,114,114,114,114,114,114,114,114
?,2532,2532,2532,2532,2532,2532,2532,2532,2532,2532
?,2899,2899,2899,2899,2899,2899,2899,2899,2899,2899
?,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227
?,323,323,323,323,323,323,323,323,323,323
?,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343
?,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
?,104,104,104,104,104,104,104,104,104,104
?,535,535,535,535,535,535,535,535,535,535
?,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859
?,2599,2599,2599,2599,2599,2599,2599,2599,2599,2599
?,2587,2587,2587,2587,2587,2587,2587,2587,2587,2587
?,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467
?,765,765,765,765,765,765,765,765,765,765
?,982,982,982,982,982,982,982,982,982,982
?,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673
?,909,909,909,909,909,909,909,909,909,909
?,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217
?,794,794,794,794,794,794,794,794,794,794
?,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194
?,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
?,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549
?,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067
?,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701
?,212,212,212,212,212,212,212,212,212,212
?,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
?,340,340,340,340,340,340,340,340,340,340
?,589,589,589,589,589,589,589,589,589,589
?,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570
?,95,95,95,95,95,95,95,95,95,95
?,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615
?,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374
?,424,424,424,424,424,424,424,424,424,424
?,455,455,455,455,455,455,455,455,455,455
?,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881
?,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441
?,503,503,503,503,503,503,503,503,503,503
?,439,439,439,439,439,439,439,439,439,439
?,581,581,581,581,581,581,581,581,581,581
?,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157
?,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074
?,740,740,740,740,740,740,740,740,740,740
?,381,381,381,381,381,381,381,381,381,381
?,317,317,317,317,317,317,317,317,317,317
?,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
?,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481
?,852,852,852,852,852,852,852,852,852,852
?,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601
?,413,413,413,413,413,413,413,413,413,413
?,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
?,90,90,90,90,90,90,90,90,90,90
?,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
?,302,302,302,302,302,302,302,302,302,302
?,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
?,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563
?,313,313,313,313,313,313,313,313,313,313
?,862,862,862,862,862,862,862,862,862,862
?,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816
?,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
?,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
?,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285
?,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596
?,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
?,660,660,660,660,660,660,660,660,660,660
?,737,737,737,737,737,737,737,737,737,737
?,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224
?,42,42,42,42,42,42,42,42,42,42
?,732,732,732,732,732,732,732,732,732,732
?,2702,2702,2702,2702,2702,2702,2702,2702,2702,2702
?,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324
?,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586
?,2485,2485,2485,2485,2485,2485,2485,2485,2485,2485
?,129,129,129,129,129,129,129,129,129,129
?,481,481,481,481,481,481,481,481,481,481
?,1405,1405,1405,1405,1405,1405,1405,1405,1405,1405
?,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421
?,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983
?,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
?,2458,2458,2458,2458,2458,2458,2458,2458,2458,2458
?,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239
?,21,21,21,21,21,21,21,21,21,21
?,649,649,649,649,649,649,649,649,649,649
?,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138
?,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043
?,499,499,499,499,499,499,499,499,499,499
?,790,790,790,790,790,790,790,790,790,790
?,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483
?,122,122,122,122,122,122,122,122,122,122
?,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196
?,95,95,95,95,95,95,95,95,95,95
?,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122
?,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
?,625,625,625,625,625,625,625,625,625,625
?,886,886,886,886,886,886,886,886,886,886
?,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
?,471,471,471,471,471,471,471,471,471,471
?,889,889,889,889,889,889,889,889,889,889
?,121,121,121,121,121,121,121,121,121,121
?,1342,1342,1342,1342,1342,1342,1342,1342,1342,1342
?,568,568,568,568,568,568,568,568,568,568
?,901,901,901,901,901,901,901,901,901,901
?,342,342,342,342,342,342,342,342,342,342
?,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833
?,519,519,519,519,519,519,519,519,519,519
?,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097
?,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121
?,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973
?,817,817,817,817,817,817,817,817,817,817
?,377,377,377,377,377,377,377,377,377,377
?,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428
?,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901
?,2259,2259,2259,2259,2259,2259,2259,2259,2259,2259
?,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671
?,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206
?,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914
?,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031
?,1787,1787,1787,1787,1787,1787,1787,1787,1787,1787
?,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
?,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639
?,791,791,791,791,791,791,791,791,791,791
?,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025
?,709,709,709,709,709,709,709,709,709,709
?,811,811,811,811,811,811,811,811,811,811
?,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815
?,2939,2939,2939,2939,2939,2939,2939,2939,2939,2939
?,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152
?,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
?,422,422,422,422,422,422,422,422,422,422
?,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
?,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407
?,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
?,679,679,679,679,679,679,679,679,679,679
?,844,844,844,844,844,844,844,844,844,844
?,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
?,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
?,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
?,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736
?,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443
?,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113
?,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306
?,2552,2552,2552,2552,2552,2552,2552,2552,2552,2552
?,441,441,441,441,441,441,441,441,441,441
?,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488
?,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
?,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
?,819,819,819,819,819,819,819,819,819,819
?,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324
?,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
?,1532,1532,1532,1532,1532,1532,1532,1532,1532,1532
?,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592
?,264,264,264,264,264,264,264,264,264,264
?,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841
?,686,686,686,686,686,686,686,686,686,686
?,139,139,139,139,139,139,139,139,139,139
?,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
?,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037
?,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404
?,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679
?,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203
?,2474,2474,2474,2474,2474,2474,2474,2474,2474,2474
?,2643,2643,2643,2643,2643,2643,2643,2643,2643,2643
?,2173,2173,2173,2173,2173,2173,2173,2173,2173,2173
?,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443
?,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
?,123,123,123,123,123,123,123,123,123,123
?,470,470,470,470,470,470,470,470,470,470
?,737,737,737,737,737,737,737,737,737,737
?,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322
?,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
?,762,762,762,762,762,762,762,762,762,762
?,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466
?,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
?,298,298,298,298,298,298,298,298,298,298
?,882,882,882,882,882,882,882,882,882,882
?,2691,2691,2691,2691,2691,2691,2691,2691,2691,2691
?,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
?,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524
?,595,595,595,595,595,595,595,595,595,595
?,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
?,501,501,501,501,501,501,501,501,501,501
?,40,40,40,40,40,40,40,40,40,40
?,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305
?,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
?,45,45,45,45,45,45,45,45,45,45
?,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937
?,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348
?,876,876,876,876,876,876,876,876,876,876
?,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907
?,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325
?,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318
?,953,953,953,953,953,953,953,953,953,953
?,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301
?,272,272,272,272,272,272,272,272,272,272
?,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
?,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162
?,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465
?,870,870,870,870,870,870,870,870,870,870
?,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160
?,891,891,891,891,891,891,891,891,891,891
?,422,422,422,422,422,422,422,422,422,422
?,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298
?,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139
?,2934,2934,2934,2934,2934,2934,2934,2934,2934,2934
?,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490
?,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
?,307,307,307,307,307,307,307,307,307,307
?,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351
?,2648,2648,2648,2648,2648,2648,2648,2648,2648,2648
?,1728,1728,1728,1728,1728,1728,1728,1728,1728,1728
?,2795,2795,2795,2795,2795,2795,2795,2795,2795,2795
?,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
?,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302
?,1312,1312,1312,1312,1312,1312,1312,1312,1312,1312
?,812,812,812,812,812,812,812,812,812,812
?,808,808,808,808,808,808,808,808,808,808
?,204,204,204,204,204,204,204,204,204,204
?,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
?,2043,2043,2043,2043,2043,2043,2043,2043,2043,2043
?,192,192,192,192,192,192,192,192,192,192
?,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
?,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726
?,489,489,489,489,489,489,489,489,489,489
?,509,509,509,509,509,509,509,509,509,509
?,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
?,701,701,701,701,701,701,701,701,701,701
?,2464,2464,2464,2464,2464,2464,2464,2464,2464,2464
?,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339
?,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422
?,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
?,969,969,969,969,969,969,969,969,969,969
?,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361
?,88,88,88,88,88,88,88,88,88,88
?,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168
?,74,74,74,74,74,74,74,74,74,74
?,2637,2637,2637,2637,2637,2637,2637,2637,2637,2637
?,2359,2359,2359,2359,2359,2359,2359,2359,2359,2359
?,20,20,20,20,20,20,20,20,20,20
?,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
?,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
?,537,537,537,537,537,537,537,537,537,537
-,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046
-,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474
-,565,565,565,565,565,565,565,565,565,565
-,239,239,239,239,239,239,239,239,239,239
-,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476
-,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053
-,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
-,715,715,715,715,715,715,715,715,715,715
-,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107
-,143,143,143,143,143,143,143,143,143,143
-,743,743,743,743,743,743,743,743,743,743
-,620,620,620,620,620,620,620,620,620,620
-,896,896,896,896,896,896,896,896,896,896
-,109,109,109,109,109,109,109,109,109,109
-,99,99,99,99,99,99,99,99,99,99
-,811,811,811,811,811,811,811,811,811,811
-,160,160,160,160,160,160,160,160,160,160
-,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
-,270,270,270,270,270,270,270,270,270,270
-,753,753,753,753,753,753,753,753,753,753
-,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387
-,999,999,999,999,999,999,999,999,999,999
-,859,859,859,859,859,859,859,859,859,859
-,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154
-,1483,1483,1483,1483,1483,1483,1483,1483,1483,1483
-,925,925,925,925,925,925,925,925,925,925
-,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
-,348,348,348,348,348,348,348,348,348,348
-,684,684,684,684,684,684,684,684,684,684
-,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465
-,629,629,629,629,629,629,629,629,629,629
-,208,208,208,208,208,208,208,208,208,208
-,873,873,873,873,873,873,873,873,873,873
-,439,439,439,439,439,439,439,439,439,439
-,850,850,850,850,850,850,850,850,850,850
-,838,838,838,838,838,838,838,838,838,838
-,576,576,576,576,576,576,576,576,576,576
-,980,980,980,980,980,980,980,980,980,980
-,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128
-,979,979,979,979,979,979,979,979,979,979
-,490,490,490,490,490,490,490,490,490,490
-,119,119,119,119,119,119,119,119,119,119
-,748,748,748,748,748,748,748,748,748,748
-,998,998,998,998,998,998,998,998,998,998
-,801,801,801,801,801,801,801,801,801,801
-,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369
-,83,83,83,83,83,83,83,83,83,83
-,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073
-,162,162,162,162,162,162,162,162,162,162
-,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271
-,1252,1252,1252,1252,1252,1252,1252,1252,1252,1252
-,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122
+,407,962,539,104,513,407,810,496,43,160
?,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235
?,100,100,100,100,100,100,100,100,100,100
?,943,943,943,943,943,943,943,943,943,943
?,2587,2587,2587,2587,2587,2587,2587,2587,2587,2587
?,2819,2819,2819,2819,2819,2819,2819,2819,2819,2819
?,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
?,139,139,139,139,139,139,139,139,139,139
?,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116
?,507,507,507,507,507,507,507,507,507,507
?,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
?,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685
?,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
?,538,538,538,538,538,538,538,538,538,538
?,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106
?,348,348,348,348,348,348,348,348,348,348
?,314,314,314,314,314,314,314,314,314,314
?,303,303,303,303,303,303,303,303,303,303
?,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067
?,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
?,83,83,83,83,83,83,83,83,83,83
?,61,61,61,61,61,61,61,61,61,61
?,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219
?,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478
?,622,622,622,622,622,622,622,622,622,622
?,392,392,392,392,392,392,392,392,392,392
?,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410
?,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
?,796,796,796,796,796,796,796,796,796,796
?,2481,2481,2481,2481,2481,2481,2481,2481,2481,2481
?,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279
?,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326
?,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742
?,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099
?,96,96,96,96,96,96,96,96,96,96
?,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238
?,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123
?,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
?,831,831,831,831,831,831,831,831,831,831
?,409,409,409,409,409,409,409,409,409,409
?,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083
?,2688,2688,2688,2688,2688,2688,2688,2688,2688,2688
?,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361
?,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931
?,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543
?,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193
?,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
?,382,382,382,382,382,382,382,382,382,382
?,911,911,911,911,911,911,911,911,911,911
?,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665
?,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
?,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
?,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185
?,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076
?,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002
?,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
?,71,71,71,71,71,71,71,71,71,71
?,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036
?,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613
?,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527
?,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239
?,444,444,444,444,444,444,444,444,444,444
?,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853
?,918,918,918,918,918,918,918,918,918,918
?,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
?,102,102,102,102,102,102,102,102,102,102
?,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
?,951,951,951,951,951,951,951,951,951,951
?,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
?,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515
?,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953
?,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307
?,447,447,447,447,447,447,447,447,447,447
?,2633,2633,2633,2633,2633,2633,2633,2633,2633,2633
?,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273
?,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362
?,589,589,589,589,589,589,589,589,589,589
?,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581
?,343,343,343,343,343,343,343,343,343,343
?,391,391,391,391,391,391,391,391,391,391
?,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298
?,694,694,694,694,694,694,694,694,694,694
?,851,851,851,851,851,851,851,851,851,851
?,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
?,2431,2431,2431,2431,2431,2431,2431,2431,2431,2431
?,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
?,344,344,344,344,344,344,344,344,344,344
?,579,579,579,579,579,579,579,579,579,579
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526
?,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
?,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144
?,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321
?,953,953,953,953,953,953,953,953,953,953
?,242,242,242,242,242,242,242,242,242,242
?,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
?,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033
?,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687
?,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276
?,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384
?,617,617,617,617,617,617,617,617,617,617
?,150,150,150,150,150,150,150,150,150,150
?,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317
?,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823
?,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316
?,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453
?,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
?,23,23,23,23,23,23,23,23,23,23
?,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
?,2828,2828,2828,2828,2828,2828,2828,2828,2828,2828
?,857,857,857,857,857,857,857,857,857,857
?,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304
?,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
?,2235,2235,2235,2235,2235,2235,2235,2235,2235,2235
?,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048
?,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
?,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671
?,966,966,966,966,966,966,966,966,966,966
?,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319
?,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
?,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979
?,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108
?,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273
?,334,334,334,334,334,334,334,334,334,334
?,431,431,431,431,431,431,431,431,431,431
?,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744
?,318,318,318,318,318,318,318,318,318,318
?,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539
?,522,522,522,522,522,522,522,522,522,522
?,56,56,56,56,56,56,56,56,56,56
?,664,664,664,664,664,664,664,664,664,664
